Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Deliverable-4 Stress,Chrome 64.0.3282.186,,2018-03-21 19:04:43,2018-03-21 19:05:00,16.327s,PASSED
,,,,,,
Test Cases/Factorial Page/Factorial - Stress,Chrome 64.0.3282.186,Stress Test Factorial page,2018-03-21 19:04:44,2018-03-21 19:04:53,8.986s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(FactorialEdgeData),Chrome 64.0.3282.186,,2018-03-21 19:04:44,2018-03-21 19:04:45,0.684s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-21 19:04:45,2018-03-21 19:04:48,2.802s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-21 19:04:48,2018-03-21 19:04:49,0.957s,PASSED
Statement - For (def index : (1..10)),Chrome 64.0.3282.186,Loop,2018-03-21 19:04:49,2018-03-21 19:04:52,3.524s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-21 19:04:52,2018-03-21 19:04:53,0.625s,PASSED
,,,,,,
Test Cases/Fibonacci Page/Fibonacci - Stress,Chrome 64.0.3282.186,Stress Test Factorial page,2018-03-21 19:04:53,2018-03-21 19:05:00,6.973s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(FactorialEdgeData),Chrome 64.0.3282.186,,2018-03-21 19:04:53,2018-03-21 19:04:53,0.030s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-21 19:04:53,2018-03-21 19:04:55,1.966s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-21 19:04:55,2018-03-21 19:04:56,0.559s,PASSED
Statement - For (def index : (1..10)),Chrome 64.0.3282.186,Loop,2018-03-21 19:04:56,2018-03-21 19:04:59,3.587s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-21 19:04:59,2018-03-21 19:05:00,0.597s,PASSED
